Time,Height
2.749845630601281510e+00 , 6.014316899077463319e+01
2.757063073201284631e+00 , 6.020345060312937591e+01
2.764280515801288196e+00 , 6.026322135436245730e+01
2.771497958401291317e+00 , 6.032248124447390580e+01
2.778715401001294882e+00 , 6.038123027346370009e+01
2.785932843601298003e+00 , 6.043946844133182594e+01
2.793150286201301569e+00 , 6.049719574807831890e+01
2.800367728801304690e+00 , 6.055441219370315764e+01
2.807585171401308255e+00 , 6.061111777820635638e+01
2.814802614001311820e+00 , 6.066731250158790090e+01
2.822020056601314941e+00 , 6.072299636384777699e+01
2.829237499201318506e+00 , 6.077816936498602018e+01
2.836454941801321628e+00 , 6.083283150500260916e+01
2.843672384401325193e+00 , 6.088698278389755814e+01
2.850889827001328314e+00 , 6.094062320167082447e+01
2.858107269601331879e+00 , 6.099375275832246501e+01
2.865324712201335000e+00 , 6.104637145385245844e+01
2.872542154801338565e+00 , 6.109847928826079055e+01
2.879759597401341686e+00 , 6.115007626154747555e+01
2.886977040001345252e+00 , 6.120116237371252055e+01
2.894194482601348817e+00 , 6.125173762475590422e+01
2.901411925201351938e+00 , 6.130180201467762657e+01
2.908629367801355503e+00 , 6.135135554347770892e+01
2.915846810401358624e+00 , 6.140039821115615126e+01
2.923064253001362189e+00 , 6.144893001771293939e+01
2.930281695601365310e+00 , 6.149695096314805909e+01
2.937499138201368876e+00 , 6.154446104746154589e+01
2.944716580801371997e+00 , 6.159146027065337847e+01
2.951934023401375562e+00 , 6.163794863272357105e+01
2.959151466001378683e+00 , 6.168392613367208810e+01
2.966368908601382248e+00 , 6.172939277349897935e+01
2.973586351201385813e+00 , 6.177434855220420928e+01
2.980803793801388935e+00 , 6.181879346978779211e+01
2.988021236401392500e+00 , 6.186272752624972071e+01
2.995238679001395621e+00 , 6.190615072158999510e+01
3.002456121601399186e+00 , 6.194906305580863659e+01
3.009673564201402307e+00 , 6.199146452890561676e+01
3.016891006801405872e+00 , 6.203335514088093561e+01
3.024108449401408993e+00 , 6.207473489173461445e+01
3.031325892001412559e+00 , 6.211560378146665329e+01
3.038543334601415680e+00 , 6.215596181007703080e+01
3.045760777201419245e+00 , 6.219580897756575411e+01
3.052978219801422810e+00 , 6.223514528393283030e+01
3.060195662401425931e+00 , 6.227397072917825938e+01
3.067413105001429496e+00 , 6.231228531330204135e+01
3.074630547601432617e+00 , 6.235008903630415489e+01
3.081847990201436183e+00 , 6.238738189818463553e+01
3.089065432801439304e+00 , 6.242416389894346196e+01
3.096282875401442869e+00 , 6.246043503858064128e+01
3.103500318001445990e+00 , 6.249619531709615217e+01
3.110717760601449555e+00 , 6.253144473449003726e+01
3.117935203201452676e+00 , 6.256618329076226104e+01
3.125152645801456242e+00 , 6.260041098591284481e+01
3.132370088401459363e+00 , 6.263412781994176015e+01
3.139587531001462928e+00 , 6.266733379284903549e+01
3.146804973601466493e+00 , 6.270002890463465661e+01
3.154022416201469614e+00 , 6.273221315529863773e+01
3.161239858801473179e+00 , 6.276388654484095042e+01
3.168457301401476300e+00 , 6.279504907326162311e+01
3.175674744001479866e+00 , 6.282570074056064868e+01
3.182892186601482987e+00 , 6.285584154673800583e+01
3.190109629201486552e+00 , 6.288547149179373008e+01
3.197327071801489673e+00 , 6.291459057572780722e+01
3.204544514401493238e+00 , 6.294319879854023014e+01
3.211761957001496359e+00 , 6.297129616023098464e+01
3.218979399601499924e+00 , 6.299888266080010624e+01
3.226196842201503490e+00 , 6.302595830024758072e+01
3.233414284801506611e+00 , 6.305252307857340810e+01
3.240631727401510176e+00 , 6.307857699577756705e+01
3.247849170001513297e+00 , 6.310412005186008599e+01
3.255066612601516862e+00 , 6.312915224682095783e+01
3.262284055201519983e+00 , 6.315367358066017545e+01
3.269501497801523549e+00 , 6.317768405337772464e+01
3.276718940401526670e+00 , 6.320118366497364804e+01
3.283936383001530235e+00 , 6.322417241544792432e+01
3.291153825601533356e+00 , 6.324665030480053218e+01
3.298371268201536921e+00 , 6.326861733303148583e+01
3.305588710801540486e+00 , 6.329007350014080657e+01
3.312806153401543607e+00 , 6.331101880612848021e+01
3.320023596001547173e+00 , 6.333145325099449963e+01
3.327241038601550294e+00 , 6.335137683473885062e+01
3.334458481201553859e+00 , 6.337078955736156871e+01
3.341675923801556980e+00 , 6.338969141886263969e+01
3.348893366401560545e+00 , 6.340808241924204935e+01
3.356110809001563666e+00 , 6.342596255849980480e+01
3.363328251601567231e+00 , 6.344333183663591313e+01
3.370545694201570353e+00 , 6.346019025365038146e+01
3.377763136801573918e+00 , 6.347653780954319558e+01
3.384980579401577483e+00 , 6.349237450431434837e+01
3.392198022001580604e+00 , 6.350770033796386826e+01
3.399415464601584169e+00 , 6.352251531049172684e+01
3.406632907201587290e+00 , 6.353681942189794540e+01
3.413850349801590855e+00 , 6.355061267218248844e+01
3.421067792401593977e+00 , 6.356389506134539857e+01
3.428285235001597542e+00 , 6.357666658938666870e+01
3.435502677601600663e+00 , 6.358892725630627751e+01
3.442720120201604228e+00 , 6.360067706210423211e+01
3.449937562801607349e+00 , 6.361191600678053248e+01
3.457155005401610914e+00 , 6.362264409033519286e+01
3.464372448001614480e+00 , 6.363286131276820612e+01
3.471589890601617601e+00 , 6.364256767407955806e+01
3.478807333201621166e+00 , 6.365176317426926289e+01
3.486024775801624287e+00 , 6.366044781333732061e+01
3.493242218401627852e+00 , 6.366862159128373833e+01
3.500459661001630973e+00 , 6.367628450810848051e+01
3.507677103601634538e+00 , 6.368343656381158269e+01
3.514894546201637660e+00 , 6.369007775839304486e+01
3.522111988801641225e+00 , 6.369620809185285282e+01
3.529329431401644346e+00 , 6.370182756419099945e+01
3.536546874001647911e+00 , 6.370693617540750608e+01
3.543764316601651476e+00 , 6.371153392550235850e+01
3.550981759201654597e+00 , 6.371562081447555670e+01
3.558199201801658162e+00 , 6.371919684232710779e+01
3.565416644401661284e+00 , 6.372226200905701177e+01
3.572634087001664849e+00 , 6.372481631466526864e+01
3.579851529601667970e+00 , 6.372685975915186418e+01
3.587068972201671535e+00 , 6.372839234251681262e+01
3.594286414801674656e+00 , 6.372941406476012105e+01
3.601503857401678221e+00 , 6.372992492588177527e+01
3.608721300001681342e+00 , 6.372992492588176106e+01
3.615938742601684908e+00 , 6.372941406476012105e+01
3.623156185201688473e+00 , 6.372839234251682683e+01
3.630373627801691594e+00 , 6.372685975915186418e+01
3.637591070401695159e+00 , 6.372481631466526153e+01
3.644808513001698280e+00 , 6.372226200905701887e+01
3.652025955601701845e+00 , 6.371919684232709358e+01
3.659243398201704967e+00 , 6.371562081447555670e+01
3.666460840801708532e+00 , 6.371153392550236561e+01
3.673678283401711653e+00 , 6.370693617540752030e+01
3.680895726001715218e+00 , 6.370182756419100656e+01
3.688113168601718339e+00 , 6.369620809185285282e+01
3.695330611201721904e+00 , 6.369007775839303065e+01
3.702548053801725469e+00 , 6.368343656381159690e+01
3.709765496401728591e+00 , 6.367628450810846630e+01
3.716982939001732156e+00 , 6.366862159128372411e+01
3.724200381601735277e+00 , 6.366044781333734193e+01
3.731417824201738842e+00 , 6.365176317426926289e+01
3.738635266801741963e+00 , 6.364256767407957227e+01
3.745852709401745528e+00 , 6.363286131276819901e+01
3.753070152001748649e+00 , 6.362264409033518575e+01
3.760287594601752215e+00 , 6.361191600678054670e+01
3.767505037201755336e+00 , 6.360067706210422500e+01
3.774722479801758901e+00 , 6.358892725630627751e+01
3.781939922401762466e+00 , 6.357666658938666160e+01
3.789157365001765587e+00 , 6.356389506134540568e+01
3.796374807601769152e+00 , 6.355061267218248133e+01
3.803592250201772273e+00 , 6.353681942189793119e+01
3.810809692801775839e+00 , 6.352251531049174105e+01
3.818027135401778960e+00 , 6.350770033796388248e+01
3.825244578001782525e+00 , 6.349237450431435548e+01
3.832462020601785646e+00 , 6.347653780954320268e+01
3.839679463201789211e+00 , 6.346019025365038146e+01
3.846896905801792332e+00 , 6.344333183663592024e+01
3.854114348401795898e+00 , 6.342596255849980480e+01
3.861331791001799463e+00 , 6.340808241924204935e+01
3.868549233601802584e+00 , 6.338969141886263969e+01
